Date,Open,High,Low,Close,Adj Close,Volume
1998-04-09,41.300999,41.584999,41.070999,41.584999,27.026642,17700
1998-04-10,null,null,null,null,null,null
1998-04-13,null,null,null,null,null,null
1998-04-14,42.096298,43.539299,42.096298,43.539299,28.296768,86400
1998-04-15,43.743999,48.572701,43.459702,47.805698,31.069567,255300
1998-04-16,48.004700,48.572701,46.385700,46.584301,30.275761,67500
1998-04-17,46.641300,47.890999,45.618698,47.549999,30.903378,124800
1998-04-20,48.970299,50.163300,48.575699,50.163300,32.601795,121800
1998-04-21,50.845001,51.413300,49.737301,49.998699,32.494823,102000
1998-04-22,50.049702,51.640301,47.834301,48.283001,31.379759,223200
1998-04-23,48.856701,49.254299,46.300301,49.254299,32.011028,246000
1998-04-24,48.174999,48.174999,47.152302,47.237701,30.700411,103500
1998-04-27,46.981998,46.981998,44.937000,45.561699,29.611162,75000
1998-04-28,46.016300,48.004700,45.959301,47.493301,30.866524,63900
1998-04-29,47.635300,48.231998,47.209301,47.834301,31.088152,65400
1998-04-30,48.004700,49.311298,47.890999,48.979000,31.832111,64800
1998-05-01,null,null,null,null,null,null
1998-05-04,49.709000,50.788300,49.709000,50.277000,32.675694,62700
1998-05-05,49.993000,50.277000,49.140701,50.049702,32.527969,52500
1998-05-06,49.936298,50.680302,48.572701,50.248699,32.657299,49200
1998-05-07,49.055698,50.390701,48.856701,48.856701,31.752617,105600
1998-05-08,48.856701,49.993000,48.856701,49.993000,32.491119,63900
1998-05-11,49.538700,49.936298,49.140701,49.311298,32.048073,26700
1998-05-12,49.424999,49.424999,48.288700,48.658001,31.623484,15300
1998-05-13,48.743000,50.277000,48.572701,49.993000,32.491119,44100
1998-05-14,50.049702,50.049702,48.686298,49.140701,31.937199,153600
1998-05-15,49.424999,49.907700,48.743000,49.709000,32.306534,167100
1998-05-18,49.424999,49.851002,48.572701,49.197701,31.974243,57600
1998-05-19,49.538700,50.504299,49.424999,50.334000,32.712738,37200
1998-05-20,50.277000,51.356300,50.277000,50.902000,33.081894,53400
1998-05-21,null,null,null,null,null,null
1998-05-22,50.788300,52.095001,50.788300,51.527000,33.488083,108900
1998-05-25,51.527000,53.287998,51.413300,52.833302,34.337074,57300
1998-05-26,53.117699,53.458302,52.833302,53.060699,34.484856,114600
1998-05-27,52.265301,52.435699,50.561001,50.561001,32.860268,59100
1998-05-28,51.811001,52.265301,51.129299,51.793999,33.661621,43500
1998-05-29,51.924702,52.776699,51.583698,52.265301,33.967915,69000
1998-06-01,null,null,null,null,null,null
1998-06-02,51.811001,52.606300,51.811001,52.322300,34.004963,60900
1998-06-03,52.549301,53.401699,52.549301,53.060699,34.484856,119700
1998-06-04,53.117699,53.344700,52.805000,52.833302,34.337074,45600
1998-06-05,53.430000,55.389999,53.430000,55.162701,35.850971,91500
1998-06-08,55.674000,57.378300,55.674000,57.094299,37.106346,31200
1998-06-09,57.094299,59.920700,56.923698,57.974701,37.678539,87600
1998-06-10,57.378300,59.082699,57.151001,58.798698,38.214066,95700
1998-06-11,null,null,null,null,null,null
1998-06-12,57.804298,58.741699,57.378300,57.378300,37.290920,164100
1998-06-15,57.946301,58.117001,56.810299,57.949299,37.662014,84600
1998-06-16,57.191002,59.355301,57.191002,59.071301,38.391220,115500
1998-06-17,59.650700,62.264000,59.650700,62.264000,40.466213,62400
1998-06-18,62.775299,63.542301,60.843700,61.923000,40.244595,241800
1998-06-19,62.775299,63.343300,61.411999,61.752701,40.133904,156000
1998-06-22,61.951698,61.951698,59.931999,59.934700,38.952362,115500
1998-06-23,60.218700,60.218700,56.526001,58.627998,38.103119,228000
1998-06-24,59.196301,59.565701,57.946301,59.270000,38.520359,100200
1998-06-25,60.161999,61.070999,59.650700,61.070999,39.690857,171900
1998-06-26,61.355000,62.548000,61.241299,61.411999,39.912476,90600
1998-06-29,61.070999,62.207298,60.872002,61.860699,40.204094,60300
1998-06-30,61.809700,62.434299,61.355000,61.639000,40.060013,89400
1998-07-01,61.923000,61.923000,61.070999,61.355000,39.875443,111000
1998-07-02,61.355000,62.036701,60.048302,60.559700,39.358551,94500
1998-07-03,60.616299,61.241299,60.048302,60.502998,39.321701,68100
1998-07-06,60.786999,60.786999,58.798698,60.502998,39.321701,117900
1998-07-07,61.014000,61.014000,60.105301,60.389301,39.247810,52800
1998-07-08,60.389301,60.786999,59.082699,59.536999,38.693878,49800
1998-07-09,59.650700,60.275700,57.435001,58.230301,37.844650,86100
1998-07-10,52.265301,56.526001,51.413300,55.844299,36.293953,753600
1998-07-13,56.526001,57.946301,56.469299,57.372700,37.287285,170400
1998-07-14,57.889702,58.429298,56.923698,57.492001,37.364826,135900
1998-07-15,58.344002,59.650700,57.946301,59.650700,38.767788,153000
1998-07-16,60.161999,60.673302,59.252998,60.020000,39.007793,90900
1998-07-17,60.929001,62.377701,60.687698,61.338001,39.864388,49200
1998-07-20,61.355000,61.894699,60.502998,61.127701,39.727711,64500
1998-07-21,60.900700,65.558998,60.900700,63.911301,41.536808,261000
1998-07-22,63.900002,67.547302,63.900002,64.692703,42.044655,982218
1998-07-23,64.479698,65.047699,61.923000,64.195297,41.721382,1035024
1998-07-24,62.661701,64.536301,62.207001,63.684299,41.389278,207708
1998-07-27,62.945702,64.195297,60.389301,60.389301,39.247810,205947
1998-07-28,63.229698,63.229698,61.468700,61.468700,39.949333,549195
1998-07-29,61.525299,64.195297,59.934700,62.377701,40.540096,512232
1998-07-30,62.491299,66.325996,62.491299,66.289001,43.082104,1110717
1998-07-31,69.251701,69.876297,67.831299,66.289001,43.082104,2756547
1998-08-03,66.183701,68.172302,65.786003,65.899696,42.829086,1320186
1998-08-04,65.047699,65.615700,63.684299,64.195297,41.721382,434781
1998-08-05,60.786999,62.235699,59.366699,60.332298,39.210762,1196967
1998-08-06,61.298000,61.298000,59.082699,59.139301,38.435421,742824
1998-08-07,59.423302,59.934700,59.196301,59.139301,38.435421,538635
1998-08-10,59.650700,60.204700,59.309700,59.309700,38.546162,235872
1998-08-11,59.082699,59.650700,53.401699,54.821701,35.629364,739302
1998-08-12,55.674000,59.650700,55.674000,59.196301,38.472469,573840
1998-08-13,58.798698,59.536999,57.094299,58.798698,38.214066,556236
1998-08-14,58.514301,60.786999,58.514301,60.502701,39.321507,452382
1998-08-17,59.082699,60.161999,57.946301,59.536999,38.693878,176022
1998-08-18,61.780998,62.775299,61.639000,62.604698,40.687626,425979
1998-08-19,64.189697,64.189697,63.059299,63.343300,41.167652,425979
1998-08-20,63.059299,63.627300,61.923000,62.377701,40.540096,186585
1998-08-21,62.775299,62.775299,57.492001,58.514301,38.029224,723462
1998-08-24,58.514301,59.650700,58.344002,59.423302,38.619991,404856
1998-08-25,59.082699,60.900299,59.082699,60.815300,39.524670,711138
1998-08-26,59.963001,60.275700,57.662300,58.060001,37.733974,573840
1998-08-27,57.378300,57.378300,53.969700,54.904301,35.683033,862521
1998-08-28,51.697300,56.810001,48.288700,54.904301,35.683033,1330746
1998-08-31,53.969700,55.105999,51.129002,52.117699,33.871986,487587
1998-09-01,49.027302,52.265301,48.743000,51.697300,33.598766,823794
1998-09-02,53.401699,54.935299,53.401699,53.998001,35.094025,480546
1998-09-03,53.401699,53.401699,51.455700,52.043701,33.823895,433020
1998-09-04,51.646000,53.117298,51.595001,52.043701,33.823895,293961
1998-09-07,52.549301,54.537701,52.549301,54.523701,35.435677,325644
1998-09-08,55.389999,57.548698,54.821701,57.037300,37.069302,378453
1998-09-09,57.946301,58.230301,55.219299,55.958000,36.367851,348528
1998-09-10,53.969700,53.969700,51.316700,51.668701,33.580177,726981
1998-09-11,50.277000,52.719700,48.799999,51.668701,33.580177,1123038
1998-09-14,53.117298,54.424000,53.004002,53.855999,35.001732,433020
1998-09-15,53.969700,54.537701,53.117298,53.685699,34.891052,536874
1998-09-16,54.196999,54.480999,49.424999,50.333698,32.712543,596724
1998-09-17,48.686298,49.709000,42.607700,43.175701,28.060461,1918671
1998-09-18,44.737999,45.277699,41.471298,43.175701,28.060461,1295541
1998-09-21,40.619301,41.471298,38.971699,39.937698,25.956038,587922
1998-09-22,41.954300,45.158298,41.641998,43.715302,28.411165,1008621
1998-09-23,44.312000,47.450699,44.028000,47.450699,30.838844,485826
1998-09-24,44.028000,44.028000,42.891701,44.596001,28.983538,36963
1998-09-25,44.028000,45.334702,42.266701,44.596001,28.983538,832596
1998-09-28,44.880001,47.152302,43.459702,45.391300,29.500410,484068
1998-09-29,45.164001,45.448002,43.346001,43.729698,28.420511,496389
1998-09-30,41.982700,42.607700,39.596699,39.596699,25.734425,677694
1998-10-01,38.915001,38.915001,35.790298,35.790298,23.260595,1406436
1998-10-02,36.074299,37.210701,31.018299,32.950001,21.414646,1251534
1998-10-05,31.700001,34.369999,30.961700,32.097698,20.860723,1424040
1998-10-06,31.245701,36.358700,31.245701,33.801998,21.968374,1297302
1998-10-07,35.506302,36.699299,33.404301,33.518002,21.783800,857241
1998-10-08,33.518002,34.710999,30.592300,31.245701,20.306997,1237452
1998-10-09,34.654301,36.358700,33.574699,35.619999,23.149914,904767
1998-10-12,37.151001,38.233299,36.415298,38.062698,24.737457,652224
1998-10-13,36.983299,39.369301,36.983299,37.097000,24.109831,603252
1998-10-14,36.358700,37.778702,35.222301,37.522999,24.386696,677148
1998-10-15,38.602699,38.602699,37.153999,37.494701,24.368311,945588
1998-10-16,39.483002,40.619301,39.085300,39.483002,25.660528,653280
1998-10-19,38.744701,40.306702,38.631001,38.786999,25.208187,450939
1998-10-20,40.335300,40.613701,36.671001,39.426300,25.623678,1270917
1998-10-21,38.347000,38.517300,35.733700,36.585701,23.777534,1060530
1998-10-22,36.926701,38.915001,35.960701,36.358700,23.630005,1200084
1998-10-23,36.926701,38.062698,36.244999,37.324299,24.257557,551679
1998-10-26,36.926701,39.312698,36.926701,39.227299,25.494345,694944
1998-10-27,39.426300,39.994301,39.199001,39.994301,25.992825,1229163
1998-10-28,39.199001,39.483002,38.233299,38.772999,25.199091,490596
1998-10-29,39.199001,39.710300,38.517300,39.483002,25.660528,267522
1998-10-30,40.050999,40.335300,39.653301,39.483002,25.660528,1151079
1998-11-02,40.164700,41.755299,40.164700,41.584999,27.026642,970548
1998-11-03,42.493999,42.493999,40.846699,41.584999,27.026642,668259
1998-11-04,40.619301,44.255001,40.619301,44.255001,28.761917,818304
1998-11-05,45.448002,45.448002,41.755299,42.607700,27.691309,1097706
1998-11-06,42.778000,44.312000,42.778000,42.607700,27.691309,503253
1998-11-09,44.993698,44.993698,42.437302,43.005299,27.949718,532299
1998-11-10,42.550701,43.743698,42.039700,42.309299,27.497375,531699
1998-11-11,41.755299,43.743698,41.755299,43.175701,28.060461,255042
1998-11-12,43.459702,43.459702,41.670300,41.982700,27.285116,787341
1998-11-13,42.607700,42.607700,41.130699,41.187302,26.768183,418128
1998-11-16,41.641998,42.607700,41.641998,42.550701,27.654268,471234
1998-11-17,42.891701,42.891701,41.471298,41.698700,27.100540,380475
1998-11-18,42.607700,43.033699,41.528301,41.968700,27.276022,846660
1998-11-19,42.153000,42.891701,41.925999,42.437302,27.580568,1056534
1998-11-20,42.607700,43.346001,42.607700,43.005299,27.949718,700578
1998-11-23,43.459702,43.687000,42.721298,43.005299,27.949718,306774
1998-11-24,44.198299,44.880001,42.607700,43.687000,28.392767,361149
1998-11-25,41.471298,43.743698,41.471298,43.459702,28.245045,402075
1998-11-26,43.857300,44.993698,43.743698,44.936699,29.204967,651255
1998-11-27,45.107300,45.561699,44.368698,45.505001,29.574306,506580
1998-11-30,44.880001,45.391300,43.701302,43.914299,28.540489,680352
1998-12-01,43.417000,43.417000,41.300999,43.914299,28.540489,615909
1998-12-02,42.153000,43.232700,41.244301,41.954300,27.266657,711702
1998-12-03,41.030998,42.493999,40.050999,42.493999,27.617414,689241
1998-12-04,41.641998,42.493999,41.073700,42.096298,27.358950,486672
1998-12-07,42.096298,42.834999,40.505699,41.329300,26.860466,393168
1998-12-08,41.286701,41.286701,39.710300,41.329300,26.860466,683556
1998-12-09,40.306702,40.306702,37.381001,38.006001,24.700605,1097286
1998-12-10,37.778702,39.766998,37.097000,37.494701,24.368311,952365
1998-12-11,36.926701,37.125301,35.051998,37.494701,24.368311,2287599
1998-12-14,35.051998,36.074299,34.654301,34.853001,22.651428,938670
1998-12-15,34.597301,36.017700,34.398701,34.938301,22.706867,987093
1998-12-16,35.733700,37.778702,35.506302,36.926701,23.999155,610065
1998-12-17,37.182301,37.806999,36.528999,37.665001,24.478987,421665
1998-12-18,37.097000,37.722000,35.506302,37.665001,24.478987,684066
1998-12-21,35.790298,36.926701,35.790298,36.642700,23.814581,531399
1998-12-22,36.358700,38.631001,36.358700,38.631001,25.106806,454953
1998-12-23,39.028702,39.766998,38.062698,39.738701,25.826710,765249
1998-12-24,null,null,null,null,null,null
1998-12-25,null,null,null,null,null,null
1998-12-28,40.789700,42.323700,40.306702,42.323700,27.506741,672414
1998-12-29,42.380299,42.380299,41.130699,41.130699,26.731396,309291
1998-12-30,41.414700,41.414700,40.335300,40.335300,26.214451,214803
1998-12-31,null,null,null,null,null,null
1999-01-01,null,null,null,null,null,null
1999-01-04,38.000000,42.222301,37.777699,38.444302,24.985468,440946
1999-01-05,30.555700,34.444302,30.000000,31.666700,20.580610,3105399
1999-01-06,32.777699,34.389000,32.333302,33.222301,21.591616,1500426
1999-01-07,34.444302,36.333302,34.111000,34.833302,22.638624,779778
1999-01-08,36.055698,36.394299,35.555698,35.889000,23.324743,614619
1999-01-11,36.111000,36.666698,34.111000,34.111000,22.169197,357399
1999-01-12,33.444302,34.666698,32.694302,32.722301,21.266663,625356
1999-01-13,31.889000,32.889000,31.277700,32.222301,20.941698,645345
1999-01-14,33.055698,33.777699,32.277699,32.222301,20.941698,429507
1999-01-15,33.000000,33.305698,31.111000,32.799999,21.317158,529983
1999-01-18,33.277699,33.277699,30.777700,31.722300,20.616747,548631
1999-01-19,31.333300,31.889000,30.444300,30.766701,19.995689,313065
1999-01-20,31.644300,31.644300,28.750000,29.722300,19.316919,822348
1999-01-21,29.944300,32.222301,28.889000,29.944300,19.461199,846477
1999-01-22,30.000000,31.555700,30.000000,29.944300,19.461199,251208
1999-01-25,30.277700,33.444302,30.277700,32.889000,21.375000,439839
1999-01-26,34.000000,35.222301,33.222301,34.222301,22.241533,744768
1999-01-27,37.166698,37.166698,34.444302,34.444302,22.385811,1424439
1999-01-28,34.233299,34.233299,32.222301,33.444302,21.735899,1055115
1999-01-29,34.277699,34.972301,33.666698,34.000000,22.097052,356913
1999-02-01,34.389000,34.955700,33.666698,34.111000,22.169197,367029
1999-02-02,34.196701,34.196701,32.666698,32.889000,21.375000,662715
1999-02-03,32.777699,33.222301,32.222301,32.222301,20.941698,565200
1999-02-04,32.889000,34.333302,32.833302,34.000000,22.097052,342099
1999-02-05,33.111000,34.944302,33.111000,34.444302,22.385811,252117
1999-02-08,35.222301,35.222301,33.777699,33.777699,21.952579,212382
1999-02-09,34.166698,34.555698,32.666698,32.666698,21.230522,356013
1999-02-10,32.222301,32.889000,31.222300,32.666698,21.230522,386361
1999-02-11,32.666698,32.666698,31.666700,31.889000,20.725088,279882
1999-02-12,32.555698,33.333302,31.333300,31.889000,20.725088,481707
1999-02-15,32.555698,32.555698,31.444300,32.111000,20.869370,219132
1999-02-16,32.222301,33.111000,31.722300,32.077702,20.847725,221670
1999-02-17,31.500000,31.944300,31.111000,31.111000,20.219456,176346
1999-02-18,31.666700,31.944300,30.916700,31.111000,20.219456,497007
1999-02-19,31.222300,32.000000,31.222300,31.889000,20.725088,206640
1999-02-22,31.789000,32.611000,31.789000,32.611000,21.194324,174672
1999-02-23,33.000000,35.111000,33.000000,34.666698,22.530352,336609
1999-02-24,33.566700,35.444302,33.566700,35.222301,22.891443,280557
1999-02-25,34.222301,35.000000,33.683300,34.000000,22.097052,265635
1999-02-26,34.000000,34.988998,33.722301,34.000000,22.097052,184455
1999-03-01,34.389000,34.943298,34.344299,34.500000,22.422010,263880
1999-03-02,34.722301,34.866699,34.222301,34.500000,22.422010,273861
1999-03-03,34.277699,34.333302,32.222301,32.229000,20.946058,565335
1999-03-04,32.222301,32.666698,31.333300,31.833300,20.688887,586314
1999-03-05,32.444302,32.555698,31.666700,31.833300,20.688887,367596
1999-03-08,31.333300,32.222301,30.688999,30.889000,20.075174,372321
1999-03-09,30.555700,31.611000,28.777700,29.444300,19.136244,1102482
1999-03-10,29.777700,30.277700,27.511000,28.666700,18.630871,1155267
1999-03-11,28.666700,29.222300,28.250000,29.222300,18.991959,1313955
1999-03-12,30.166700,31.111000,28.444300,29.222300,18.991959,622989
1999-03-15,28.500000,29.555700,28.500000,28.666700,18.630871,219276
1999-03-16,29.277700,29.444300,28.555700,28.833300,18.739149,369450
1999-03-17,29.000000,29.166700,28.389000,28.522301,18.537022,266625
1999-03-18,28.333300,28.333300,27.433300,27.477699,17.858126,518409
1999-03-19,27.777700,28.444300,27.505699,28.000000,18.197575,635256
1999-03-22,27.622299,28.000000,27.134300,27.166700,17.656000,287127
1999-03-23,27.166700,27.166700,26.277700,26.216700,17.038584,194868
1999-03-24,26.000000,27.555700,25.444300,27.000000,17.547659,608760
1999-03-25,27.111000,28.444300,26.666700,26.666700,17.331041,933552
1999-03-26,27.777700,28.222300,27.222300,28.111000,18.269718,592641
1999-03-29,28.111000,29.277700,28.111000,29.216700,18.988321,295974
1999-03-30,29.444300,29.643299,29.222300,29.222300,18.991959,190152
1999-03-31,29.333300,30.083300,29.111000,29.394300,19.103750,396720
1999-04-01,28.889000,29.389000,28.111000,28.666700,18.630871,371115
